Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2021, eco5, 4, 116.73, 14.87, 36, 320, 0, 
2022, eco5, 4, 97.53, 15.67, 46, 310, 0, 
2023, eco5, 4, 114.42, 14.26, 49, 287, 0, 
2024, eco5, 4, 170.43, 13.79, 58, 284, 0, 
2025, eco5, 4, 123.33, 13.8, 61, 291, 0, 
2026, eco5, 4, 149.02, 13.69, 69, 298, 0, 
2027, eco5, 4, 120.17, 14.34, 62, 288, 0, 
2028, eco5, 4, 114.42, 14.26, 49, 287, 0, 
2029, eco5, 4, 134.81, 14.66, 38, 306, 0, 
2030, eco5, 4, 120.85, 14.93, 55, 315, 0, 
2031, eco5, 4, 159.8, 15.57, 0, 307, 0, 
2032, eco5, 4, 155.58, 13.87, 22, 284, 0, 
2033, eco5, 4, 102.78, 13.87, 59, 273, 0, 
2034, eco5, 4, 144.26, 15.5, 0, 320, 0, 
2035, eco5, 4, 149.02, 13.69, 69, 298, 0, 
2036, eco5, 4, 134.95, 14.19, 66, 280, 0, 
2037, eco5, 4, 112.94, 14.58, 46, 269, 0, 
2038, eco5, 4, 134.95, 14.19, 66, 280, 0, 
2039, eco5, 4, 116.73, 14.87, 36, 320, 0, 
2040, eco5, 4, 156.7, 15.24, 61, 365, 0, 
2041, eco5, 4, 141.73, 13.85, 27, 296, 0, 
2042, eco5, 4, 115.54, 14.18, 44, 302, 0, 
2043, eco5, 4, 112.94, 14.58, 46, 269, 0, 
2044, eco5, 4, 170.69, 14.19, 53, 319, 0, 
2045, eco5, 4, 170.69, 14.19, 53, 319, 0, 
2046, eco5, 4, 134.95, 14.19, 66, 280, 0, 
2047, eco5, 4, 150.76, 13.73, 51, 299, 0, 
2048, eco5, 4, 150.76, 13.73, 51, 299, 0, 
2049, eco5, 4, 139.22, 15.07, 0, 301, 0, 
2050, eco5, 4, 84.84, 15.29, 55, 296, 0, 
2051, eco5, 4, 135.37, 14.38, 55, 292, 0, 
2052, eco5, 4, 123.33, 13.8, 61, 291, 0, 
2053, eco5, 4, 97.53, 15.67, 46, 310, 0, 
2054, eco5, 4, 102.78, 13.87, 59, 273, 0, 
2055, eco5, 4, 112.56, 13.77, 67, 305, 0, 
2056, eco5, 4, 156.7, 15.24, 61, 365, 0, 
